"","position","point_rate","steal_rate","block_rate","rebound_rate","foul_rate","race","matching_refs","time","team","opponent","majority_match"
"1","G",17.0940170940171,0,0,2.13675213675214,6.41025641025641,"Black",0,18.72,"CHI","IND",0
"2","G",4.63768115942029,2.31884057971015,0,4.63768115942029,4.63768115942029,"White",2,17.25,"CHI","IND",1
"3","F",10.2915951972556,0,0,6.86106346483705,3.43053173241852,"Black",0,23.32,"CHI","IND",0
"4","C-F",20.125786163522,1.67714884696017,1.67714884696017,6.70859538784067,3.35429769392034,"Black",0,23.85,"CHI","IND",0
"5","F",19.5121951219512,3.00187617260788,0,1.50093808630394,1.50093808630394,"Black",0,26.65,"CHI","IND",0
"6","G",52.3331879633668,3.48887919755779,1.74443959877889,12.2110771914522,5.23331879633668,"Black",0,22.93,"CHI","IND",0
"7","C",19.8142414860681,2.47678018575851,0,7.43034055727554,4.95356037151703,"Black",0,16.15,"CHI","IND",0
"8","G",0,0,0,2.90486564996369,2.90486564996369,"Black",0,13.77,"CHI","IND",0
"9","G",29.0135396518375,0,0,15.4738878143133,0,"White",2,20.68,"CHI","IND",1
"10","F",9.59232613908873,2.39808153477218,2.39808153477218,9.59232613908873,4.79616306954436,"Black",0,16.68,"CHI","IND",0
"11","G",11.1576011157601,1.11576011157601,1.11576011157601,4.46304044630404,3.34728033472803,"Black",0,35.85,"IND","CHI",0
"12","C",15.4900208519511,0,1.1915400655347,10.7238605898123,5.95770032767352,"Black",0,33.57,"IND","CHI",0
"13","F",6.6722268557131,2.22407561857103,0,3.33611342785655,2.22407561857103,"Black",0,35.97,"IND","CHI",0
"14","F",12.6696832579186,0,1.80995475113122,5.42986425339366,3.61990950226244,"Black",0,22.1,"IND","CHI",0
"15","G",33.8624338624339,2.11640211640212,0,4.23280423280423,4.23280423280423,"Black",0,37.8,"IND","CHI",0
"16","F",21.9020172910663,1.15273775216138,0,9.22190201729107,3.45821325648415,"Black",0,34.7,"IND","CHI",0
"17","F",20.8333333333333,2.77777777777778,1.38888888888889,5.55555555555556,2.77777777777778,"Black",1,28.8,"ATL","PHO",0
"18","F",4.742145820984,0,0,7.11321873147599,7.11321873147599,"Black",1,16.87,"ATL","PHO",0
"19","G",11.8929633300297,1.3214403700033,2.64288074000661,9.25008259002313,1.3214403700033,"Black",1,30.27,"ATL","PHO",0
"20","F",18.8201230546507,4.34310532030402,2.89540354686935,7.23850886717336,7.23850886717336,"Black",1,27.63,"ATL","PHO",0
"21","G",18.5131617008967,1.15707260630605,0,1.15707260630605,0,"Black",1,34.57,"ATL","PHO",0
"22","C",1.22812404052809,3.68437212158428,0,3.68437212158428,2.45624808105619,"Black",1,32.57,"ATL","PHO",0
"23","G",27.7629471436199,6.40683395621997,0,0,10.6780565936999,"Black",1,18.73,"ATL","PHO",0
"24","F",0,0,0,4.59770114942529,4.59770114942529,"Black",1,8.7,"ATL","PHO",0
"25","G",23.2258064516129,1.29032258064516,0,12.9032258064516,1.29032258064516,"White",2,31,"PHO","ATL",1
"26","G",29.5683027794205,2.36546422235364,1.18273211117682,7.09639266706091,2.36546422235364,"Black",1,33.82,"PHO","ATL",0
"27","F",5.0203953561343,1.25509883903357,0,6.27549419516787,3.76529651710072,"White",2,31.87,"PHO","ATL",1
"28","C",16.1490683229814,0,2.48447204968944,14.9068322981366,1.24223602484472,"Black",1,32.2,"PHO","ATL",0
"29","F",17.4165457184325,0,2.322206095791,11.611030478955,3.4833091436865,"Black",1,34.45,"PHO","ATL",0
"30","C",6.63900414937759,0,0,3.3195020746888,0,"Black",1,12.05,"PHO","ATL",0
"31","G",18.2054616384915,0,0,5.20156046814044,10.4031209362809,"White",2,15.38,"PHO","ATL",1
"32","F",0,0,0,22.0820189274448,12.6182965299685,"Black",1,12.68,"LAS","ATL",0
"33","F",22.3905169575239,2.63417846559104,2.63417846559104,9.21962462956865,3.95126769838657,"Black",1,30.37,"LAS","ATL",0
"34","G",21.0692652093758,4.21385304187516,0,2.10692652093758,3.16038978140637,"Black",1,37.97,"LAS","ATL",0
"35","G",20.1131363922062,0,0,3.77121307353866,2.51414204902577,"Black",1,31.82,"LAS","ATL",0
"36","G",15.5541153596889,0,0,0,2.59235255994815,"Black",1,15.43,"LAS","ATL",0
"37","F",14.1176470588235,0,0,3.13725490196078,7.84313725490196,"White",2,25.5,"LAS","ATL",1
"38","C",18.2759671032592,1.21839780688395,0,9.74718245507158,2.4367956137679,"Black",1,32.83,"LAS","ATL",0
"39","G-F",0,4.32432432432432,0,4.32432432432432,4.32432432432432,"Black",1,9.25,"LAS","ATL",0
"40","F",4.19287211740042,0,6.28930817610063,4.19287211740042,10.482180293501,"Black",1,19.08,"ATL","LAS",0
"41","F",10.1010101010101,0,0,25.2525252525253,15.1515151515152,"Black",1,7.92,"ATL","LAS",0
"42","F",15.2091254752852,0,0,3.80228136882129,3.80228136882129,"Black",1,10.52,"ATL","LAS",0
"43","G",29.2682926829268,1.95121951219512,0,3.90243902439024,1.95121951219512,"Black",1,20.5,"ATL","LAS",0
"44","G",12.6182965299685,1.40203294777427,0,4.20609884332282,4.20609884332282,"Black",1,28.53,"ATL","LAS",0
"45","F",18.5640185640186,1.09200109200109,0,5.46000546000546,2.18400218400218,"Black",1,36.63,"ATL","LAS",0
"46","C",17.9183135704875,1.05401844532279,2.10803689064559,7.37812911725955,5.27009222661396,"Black",1,37.95,"ATL","LAS",0
"47","G",10.8108108108108,1.35135135135135,0,5.4054054054054,8.10810810810811,"Black",1,29.6,"ATL","LAS",0
"48","G",16.366612111293,0,0,13.0932896890344,0,"Black",2,12.22,"SEA","WAS",1
"49","C",16.827934371056,1.6827934371056,0,10.0967606226336,5.04838031131679,"Black",2,23.77,"SEA","WAS",1
"50","G",27.6691729323308,1.20300751879699,0,3.60902255639098,1.20300751879699,"Black",2,33.25,"SEA","WAS",1
"51","F",20.8269525267994,1.22511485451761,6.12557427258806,9.80091883614089,1.22511485451761,"Black",2,32.65,"SEA","WAS",1
"52","F",31.5955766192733,0,0,0,6.31911532385466,"White",1,6.33,"SEA","WAS",0
"53","C",21.7687074829932,0,5.4421768707483,5.4421768707483,10.8843537414966,"White",1,7.35,"SEA","WAS",0
"54","F",24.7678018575851,2.47678018575851,0,2.47678018575851,4.95356037151703,"Black",2,16.15,"SEA","WAS",1
"55","F",4.08788962698007,0,0,8.17577925396014,0,"White",1,19.57,"SEA","WAS",0
"56","G",0,0,0,2.55591054313099,0,"Black",2,15.65,"SEA","WAS",1
"57","G",8.47201210287443,0,0,9.68229954614221,2.42057488653555,"White",1,33.05,"SEA","WAS",0
"58","G",24.2656449553001,0,0,1.27713920817369,2.55427841634738,"Other",0,31.32,"WAS","SEA",0
"59","G",10.0755667506297,0,0,5.03778337531486,2.51889168765743,"Black",2,15.88,"WAS","SEA",1
"60","C",40.1416765053129,2.36127508854782,0,18.8902007083825,1.18063754427391,"Black",2,33.88,"WAS","SEA",1
"61","C",7.60456273764259,0,0,22.8136882129278,0,"White",1,10.52,"WAS","SEA",0
"62","F",11.2359550561798,0,2.24719101123596,10.1123595505618,1.12359550561798,"White",1,35.6,"WAS","SEA",0
"63","G",11.0497237569061,0,0,2.20994475138122,4.41988950276243,"Black",2,36.2,"WAS","SEA",1
"64","F",5.87716720540699,0,0,3.5263003232442,3.5263003232442,"White",1,34.03,"WAS","SEA",0
"65","G",4.22535211267606,4.22535211267606,2.8169014084507,1.40845070422535,1.40845070422535,"Black",0,28.4,"LVA","MIN",0
"66","F",18.1159420289855,2.41545893719807,0,10.8695652173913,0,"Black",0,33.12,"LVA","MIN",0
"67","C",13.6363636363636,0,0,4.54545454545454,4.54545454545454,"White",3,8.8,"LVA","MIN",1
"68","C",0,0,0,0,5.92592592592593,"Black",0,13.5,"LVA","MIN",0
"69","G",0,4.47928331466965,0,0,4.47928331466965,"Black",0,8.93,"LVA","MIN",0
"70","G",25.1414204902577,0,0,6.28535512256442,5.02828409805154,"White",3,31.82,"LVA","MIN",1
"71","F",31.7266625991458,0,0,7.3215375228798,4.8810250152532,"Black",0,32.78,"LVA","MIN",0
"72","G",22.038567493113,1.83654729109275,0,3.67309458218549,7.34618916437098,"Black",0,21.78,"LVA","MIN",0
"73","F",15.3624579932789,0,0,7.68122899663946,3.84061449831973,"Black",0,20.83,"LVA","MIN",0
"74","F",23.3576642335766,2.91970802919708,0,11.6788321167883,5.83941605839416,"Black",0,13.7,"MIN","LVA",0
"75","G",12.5356125356125,0,0,0,1.13960113960114,"Black",0,35.1,"MIN","LVA",0
"76","F",16.6666666666667,0,0,5.55555555555556,2.77777777777778,"White",3,28.8,"MIN","LVA",1
"77","F",0,0,0,18.348623853211,0,"White",3,8.72,"MIN","LVA",1
"78","F",27.2754224725763,1.18588793359028,1.18588793359028,8.30121553513193,3.55766380077083,"Black",0,33.73,"MIN","LVA",0
"79","F",25,0,0,0,3.125,"White",3,12.8,"MIN","LVA",1
"80","G",7.82013685239492,0,0,3.91006842619746,3.91006842619746,"White",3,10.23,"MIN","LVA",1
"81","G",29.5599596909641,1.34363453140746,0,9.4054417198522,1.34363453140746,"Black",0,29.77,"MIN","LVA",0
"82","C",16.7855644146034,1.67855644146034,3.35711288292069,6.71422576584138,8.39278220730172,"White",3,23.83,"MIN","LVA",1
"83","C",18.4473481936972,0,3.07455803228286,7.68639508070715,4.61183704842429,"White",2,26.02,"NYL","CHI",1
"84","F",0,5.63380281690141,5.63380281690141,5.63380281690141,0,"White",2,7.1,"NYL","CHI",1
"85","G",17.4081237911025,0,1.93423597678917,1.93423597678917,7.73694390715667,"White",2,20.68,"NYL","CHI",1
"86","F",13.4566862910008,0,1.68208578637511,5.04625735912532,6.72834314550042,"Black",1,23.78,"NYL","CHI",0
"87","G",28.8,0,0,13.8666666666667,2.13333333333333,"White",2,37.5,"NYL","CHI",1
"88","G",5.71428571428571,0,0,1.42857142857143,2.85714285714286,"White",2,28,"NYL","CHI",1
"89","F",21.9058050383352,0,0,0,8.76232201533406,"Black",1,9.13,"NYL","CHI",0
"90","C",19.0023752969121,1.90023752969121,1.90023752969121,3.80047505938242,1.90023752969121,"Other",0,21.05,"NYL","CHI",0
"91","G",16.4794007490637,2.99625468164794,0,0,0,"Black",1,26.7,"NYL","CHI",0
"92","F-C",16.8460458586804,0,3.74356574637342,3.74356574637342,3.74356574637342,"Black",1,21.37,"CHI","NYL",0
"93","G",7.6555023923445,0,0,3.82775119617225,15.311004784689,"White",2,10.45,"CHI","NYL",1
"94","F",25.53463134376,2.553463134376,2.553463134376,14.044047239068,1.276731567188,"White",2,31.33,"CHI","NYL",1
"95","C",13.1147540983607,0,0,19.672131147541,0,"Other",0,6.1,"CHI","NYL",0
"96","F",21.2853049529267,0,0,9.8239869013508,6.54932460090053,"Black",1,24.43,"CHI","NYL",0
"97","G",19.4528875379939,1.21580547112462,0,3.64741641337386,2.43161094224924,"White",2,32.9,"CHI","NYL",1
"98","C",7.55429650613787,0,1.88857412653447,7.55429650613787,1.88857412653447,"Black",1,21.18,"CHI","NYL",0
"99","G",3.95647873392681,0,0,7.91295746785361,5.93471810089021,"Black",1,20.22,"CHI","NYL",0
"100","G",27.072758037225,1.35363790186125,1.35363790186125,8.12182741116751,1.35363790186125,"White",2,29.55,"CHI","NYL",1
"101","C",26.5861027190332,1.20845921450151,0,14.5015105740181,4.83383685800604,"Black",1,33.1,"WAS","PHO",0
"102","F",3.46020761245675,0,3.46020761245675,10.3806228373702,6.92041522491349,"White",2,23.12,"WAS","PHO",1
"103","G",0,5.72246065808298,0,3.81497377205532,1.90748688602766,"Other",0,20.97,"WAS","PHO",0
"104","G",0,3.05810397553517,0,6.11620795107034,6.11620795107034,"Black",1,13.08,"WAS","PHO",0
"105","G",16.9043845747491,2.11304807184363,0,2.11304807184363,4.22609614368727,"White",2,18.93,"WAS","PHO",1
"106","F",16.0374206481791,0,1.33645172068159,6.68225860340795,5.34580688272636,"Black",1,29.93,"WAS","PHO",0
"107","G",0,0,0,0,0,"White",2,5.9,"WAS","PHO",1
"108","F",14.7942672214517,3.69856680536292,1.84928340268146,7.39713361072584,5.54785020804438,"White",2,21.63,"WAS","PHO",1
"109","G",23.0917254650417,1.28287363694676,0,1.28287363694676,2.56574727389352,"Black",1,31.18,"WAS","PHO",0
"110","G",7.55667506297229,5.03778337531486,0,12.5944584382872,2.51889168765743,"Black",1,15.88,"PHO","WAS",0
"111","G",26.7857142857143,2.23214285714286,0,8.92857142857143,8.92857142857143,"White",2,17.92,"PHO","WAS",1
"112","F",20.9150326797386,1.74291938997821,0,1.74291938997821,5.22875816993464,"White",2,22.95,"PHO","WAS",1
"113","F",21.6919739696312,0,0,8.67678958785249,0,"Black",1,9.22,"PHO","WAS",0
"114","G",14.9086843086098,0,0,7.45434215430488,2.98173686172195,"Black",1,26.83,"PHO","WAS",0
"115","C",21.1161387631976,0,1.50829562594268,15.0829562594268,7.54147812971342,"Black",1,26.52,"PHO","WAS",0
"116","F",12.686330478909,0,2.53726609578179,17.7608626704726,3.80589914367269,"Black",1,31.53,"PHO","WAS",0
"117","G",25.018395879323,0,0,1.47167034584253,2.94334069168506,"White",2,27.18,"PHO","WAS",1
"118","F",11.9820269595607,0,0,13.9790314528208,3.99400898652022,"White",2,20.03,"PHO","WAS",1
"119","F",3.34728033472803,0,0,8.36820083682009,5.02092050209205,"Black",1,23.9,"LVA","IND",0
"120","G",0,0,0,3.49956255468067,0,"White",2,11.43,"LVA","IND",1
"121","F",15.7150340492404,0,0,4.19067574646412,1.04766893661603,"Black",1,38.18,"LVA","IND",0
"122","F",30.9648880287531,2.21177771633951,5.52944429084877,9.95299972352779,2.21177771633951,"Black",1,36.17,"LVA","IND",0
"123","G",8.03212851405622,4.01606425702811,2.00803212851406,2.00803212851406,2.00803212851406,"Black",1,19.92,"LVA","IND",0
"124","G",36.3928284720364,1.07037730800107,0,6.42226384800642,3.21113192400321,"White",2,37.37,"LVA","IND",1
"125","C",3.06513409961686,3.06513409961686,1.53256704980843,18.3908045977011,4.59770114942529,"Black",1,26.1,"LVA","IND",0
"126","C",4.97822028624767,2.48911014312383,2.48911014312383,17.4237710018668,2.48911014312383,"Black",1,16.07,"IND","LVA",0
"127","G",13.7748344370861,1.05960264900662,0,6.35761589403974,5.29801324503311,"White",2,37.75,"IND","LVA",1
"128","G",25.966694891335,0,0,4.51594693762348,3.38696020321761,"Black",1,35.43,"IND","LVA",0
"129","C",20.264565156206,1.12580917534478,1.12580917534478,12.3839009287926,1.12580917534478,"Black",1,35.53,"IND","LVA",0
"130","F",6.46725949878739,3.23362974939369,0,3.23362974939369,0,"White",2,12.37,"IND","LVA",1
"131","F",7.61324704986677,0,1.52264940997335,21.317091739627,4.56794822992006,"Black",1,26.27,"IND","LVA",0
